X,Y,FID,Región,Comuna,Tipo__CONA,Calle_Uno,Calle_Dos,Número,Zona,Latitude,Longitude,Cant__Sini,Fallecidos,Lesionados,Graves,Menos_grav,Leves
-7861636.1369405,-3959751.05713789,126,REGION METROPOLITANA,SAN JOAQUIN,COLISION,VICUÑA MACKENNA,-,3361,URBANA,-33.484199,-70.622279,2,0,2,0,0,2
-7860622.35033784,-3963048.38287979,127,REGION METROPOLITANA,SAN JOAQUIN,COLISION,VICUÑA MACKENNA PONIENTE,SANDINO,-,URBANA,-33.5089,-70.613172,1,0,0,0,0,0
-7865506.93827436,-3963038.63675524,128,REGION METROPOLITANA,SAN MIGUEL,COLISION,GRAN AVDA JOSE MIGUEL CARRERA,-,5919,URBANA,-33.508827,-70.657051,1,0,0,0,0,0
-7862952.93519709,-3967486.39413277,129,REGION METROPOLITANA,SAN RAMON,COLISION,AMERICO VESPUCIO,STA ROSA,-,URBANA,-33.542135,-70.634108,1,0,1,0,0,1
-7862994.79132563,-3967224.21896819,130,REGION METROPOLITANA,SAN RAMON,COLISION,STA ROSA,-,8739,URBANA,-33.540172,-70.634484,1,0,1,1,0,0
-7862999.13278577,-3966899.14605973,131,REGION METROPOLITANA,SAN RAMON,COLISION,STA ROSA,DOÑIHUE,-,URBANA,-33.537738,-70.634523,1,0,1,0,0,1
-7863008.483623,-3966598.52186605,132,REGION METROPOLITANA,SAN RAMON,COLISION,STA ROSA,PARAGUAY,-,URBANA,-33.535487,-70.634607,1,0,0,0,0,0
-7865015.574042,-3953520.06279681,133,REGION METROPOLITANA,SANTIAGO,ATROPELLO,CATEDRAL,BANDERA,-,URBANA,-33.437502,-70.652637,1,0,0,0,0,0
-7863738.07156566,-3953722.4303203,134,REGION METROPOLITANA,SANTIAGO,ATROPELLO,JOSE VICTORINO LASTARRIA,LIBER BERNARDO O'HIGGINS,-,URBANA,-33.439019,-70.641161,1,0,1,0,0,1
-7863485.82159952,-3954094.62504966,135,REGION METROPOLITANA,SANTIAGO,ATROPELLO,PORTUGAL,MARCOLETA,-,URBANA,-33.441809,-70.638895,1,0,1,0,0,1
-7865049.19252822,-3954877.60708754,136,REGION METROPOLITANA,SANTIAGO,ATROPELLO,TARAPACA,PASEO BULNES,-,URBANA,-33.447678,-70.652939,1,0,0,0,0,0
-7863971.84249632,-3953318.89937821,137,REGION METROPOLITANA,SANTIAGO,CHOQUE,ISMAEL VALDES VERGARA,JOSE MIGUEL DE LA BARRA,-,URBANA,-33.435994,-70.643261,1,0,1,0,0,1
