FID,Año,Claseaccid,Cód_Regi,Región,Comuna,Cód_Zona,Zona,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Siniestros,Fallecidos,Graves,Menos_grav,Leves,Ilesos
134,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA, ,- GRAN AVDA JOSE MIGUEL CARRERA,9740, , ,1,0,0,0,1,1
135,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA, ,- GRAN AVDA JOSE MIGUEL CARRERA,11087, , ,1,0,0,0,1,1
136,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA,CAP AVALOS,CAP AVALOS - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,1,0,0,0,1,1
137,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA,CENTRAL,CENTRAL - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,1,0,0,1,0,1
138,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA,LARGA,GRAN AVDA JOSE MIGUEL CARRERA - LARGA,0, , ,1,0,0,1,0,1
139,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA,LO MORENO,GRAN AVDA JOSE MIGUEL CARRERA - LO MORENO,0, , ,1,0,0,0,1,1
140,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA,SUR,GRAN AVDA JOSE MIGUEL CARRERA - SUR,0, , ,1,0,0,1,1,1
141,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,LAS CANTERAS,LOS MORROS,LAS CANTERAS - LOS MORROS,0, , ,1,0,0,1,0,1
142,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,LAS PERLAS,LAS AGATAS,LAS AGATAS - LAS PERLAS,0, , ,1,0,0,0,2,1
143,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,LO MARTINEZ, ,- LO MARTINEZ,598, , ,1,0,0,1,1,0
144,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,LO MARTINEZ,GRAL SILVA,GRAL SILVA - LO MARTINEZ,0, , ,1,0,0,0,1,1
145,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,LO MARTINEZ,LAS ESMERALDAS,LAS ESMERALDAS - LO MARTINEZ,0, , ,1,0,0,0,2,0
146,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,LO MARTINEZ,LOS MORROS,LO MARTINEZ - LOS MORROS,0, , ,1,0,1,0,0,1
147,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,LO MORENO,GRAN AVDA JOSE MIGUEL CARRERA,GRAN AVDA JOSE MIGUEL CARRERA - LO MORENO,0, , ,1,0,1,0,0,1
148,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,LOS MORROS,JORGE LUCO,JORGE LUCO - LOS MORROS,0, , ,1,0,0,0,2,1
149,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,LOS SAUCES, ,- LOS SAUCES,1368, , ,1,0,0,1,0,1
