X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,PAIS,Año,Claseaccid,Cód_Regi,Cód_Comun,Cód_Zona,Zona,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-7862188.35953848,-3957167.31653013,420,-70.6272397,-33.4648387,REGION METROPOLITANA,13101,SANTIAGO,VICUNA MACKENNA,MAULE,0,"VICUNA MACKENNA & MAULE, SANTIAGO",CHILE,2021,1,13,13101,1,URBANA,0,0,0,2,12,7
-7862172.31839985,-3976281.46188938,421,-70.6270956,-33.607961,REGION METROPOLITANA,13112,LA PINTANA,STA ROSA, ,15545,"STA ROSA 15545, LA PINTANA",CHILE,2021,1,13,13112,1,URBANA,2,0,0,3,8,6
-7862154.06200336,-3975780.93597462,422,-70.6269316,-33.6042162,REGION METROPOLITANA,13112,LA PINTANA,STA ROSA,LOS JESUITAS,0,"STA ROSA & LOS JESUITAS, LA PINTANA",CHILE,2021,1,13,13112,1,URBANA,0,0,0,2,7,5
-7862115.28942472,-3953001.14044978,423,-70.6265833,-33.4336119,REGION METROPOLITANA,13123,PROVIDENCIA,PROVIDENCIA,SALVADOR,0,"PROVIDENCIA & SALVADOR, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,3,0,4,11,8
-7862113.697556,-3976741.96279481,424,-70.626569,-33.6114062,REGION METROPOLITANA,13112,LA PINTANA,STA ROSA,CAMINO EL MARISCAL,0,"STA ROSA & CAMINO EL MARISCAL, LA PINTANA",CHILE,2021,1,13,13112,1,URBANA,0,0,0,4,17,11
-7862105.35972614,-3957513.97399359,425,-70.6264941,-33.4674365,REGION METROPOLITANA,13101,SANTIAGO,VICUNA MACKENNA,NUBLE,0,"VICUNA MACKENNA & NUBLE, SANTIAGO",CHILE,2021,1,13,13101,1,URBANA,0,0,0,1,9,5
-7862088.11633702,-3957496.10576119,426,-70.6263392,-33.4673026,REGION METROPOLITANA,13120,NUNOA,VICUNA MACKENNA,CARLOS DITTBORN,0,"VICUNA MACKENNA & CARLOS DITTBORN, ??ªU??ªOA",CHILE,2021,1,13,13120,1,URBANA,0,2,1,4,4,6
-7862052.16014149,-3953193.16079314,427,-70.6260162,-33.4350514,REGION METROPOLITANA,13123,PROVIDENCIA,SALVADOR,DR HERNAN ALESSANDRI,0,"SALVADOR & DR HERNAN ALESSANDRI, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,0,0,10,5
-7862032.81281399,-3947716.32844082,428,-70.6258424,-33.3939844,REGION METROPOLITANA,13127,RECOLETA,AMERICO VESPUCIO,LAS TORRES,0,"AMERICO VESPUCIO & LAS TORRES, RECOLETA",CHILE,2021,1,13,13127,1,URBANA,0,4,0,4,21,15
-7861972.2104832,-3947676.39562942,429,-70.625298,-33.3936849,REGION METROPOLITANA,13107,HUECHURABA,EL SALTO,AMERICO VESPUCIO,0,"EL SALTO & AMERICO VESPUCIO, HUECHURABA",CHILE,2021,1,13,13107,1,URBANA,0,0,1,8,15,10
-7861969.1714611,-3952833.42705867,430,-70.6252707,-33.4323546,REGION METROPOLITANA,13123,PROVIDENCIA,PROVIDENCIA,ELIODORO YANEZ,0,"PROVIDENCIA & ELIODORO YANEZ, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,0,1,12,7
-7861898.31660521,-3953818.63962554,431,-70.6246342,-33.4397402,REGION METROPOLITANA,13123,PROVIDENCIA,RANCAGUA,SALVADOR,0,"RANCAGUA & SALVADOR, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,2,0,2,12,7
-7861885.06958581,-3952550.04190197,432,-70.6245152,-33.4302301,REGION METROPOLITANA,13123,PROVIDENCIA,ANDRES BELLO,HUELEN,0,"ANDRES BELLO & HUELEN, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,2,0,6,16,11
-7861851.68487052,-3964053.63977126,433,-70.6242153,-33.5164292,REGION METROPOLITANA,13111,LA GRANJA,LAS INDUSTRIAS,LO OVALLE,0,"LAS INDUSTRIAS & LO OVALLE, LA GRANJA",CHILE,2021,1,13,13111,1,URBANA,0,0,0,4,9,6
-7861795.14570115,-3952654.1379546,434,-70.6237074,-33.4310105,REGION METROPOLITANA,13123,PROVIDENCIA,PROVIDENCIA,HUELEN,0,"PROVIDENCIA & HUELEN, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,1,0,0,2,17,10
-7861774.67404679,-3969638.29873827,435,-70.6235235,-33.5582454,REGION METROPOLITANA,13112,LA PINTANA,JOAQUIN EDWARDS BELLO,STO TOMAS,0,"JOAQUIN EDWARDS BELLO & STO TOMAS, LA PINTANA",CHILE,2021,1,13,13112,1,URBANA,0,0,1,1,13,7
-7861730.86982716,-3958514.87929175,436,-70.62313,-33.4749367,REGION METROPOLITANA,13129,SAN JOAQUIN,VICUNA MACKENNA,RODRIGO DE ARAYA,0,"VICUNA MACKENNA & RODRIGO DE ARAYA, SAN JOAQUIN",CHILE,2021,1,13,13129,1,URBANA,0,2,0,10,13,10
-7861701.4369538,-3954615.58448474,437,-70.6228656,-33.445714,REGION METROPOLITANA,13123,PROVIDENCIA,STA ISABEL,SALVADOR,0,"STA ISABEL & SALVADOR, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,0,1,18,10
-7861661.29514542,-3952188.74088902,438,-70.622505,-33.4275214,REGION METROPOLITANA,13123,PROVIDENCIA,MANUEL MONTT,ANDRES BELLO,0,"MANUEL MONTT & ANDRES BELLO, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,0,2,8,5
-7861643.3059157,-3956542.60404209,439,-70.6223434,-33.460157,REGION METROPOLITANA,13120,NUNOA,GRECIA,SALVADOR SUR,0,"GRECIA & SALVADOR SUR, ??ªU??ªOA",CHILE,2021,1,13,13120,1,URBANA,0,0,1,9,6,7
-7861557.12236593,-3951864.11713659,440,-70.6215692,-33.4250876,REGION METROPOLITANA,13123,PROVIDENCIA,ANDRES BELLO,CALDERON,0,"ANDRES BELLO & CALDERON, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,2,1,1,10,7
-7861468.12243304,-3966861.99175334,441,-70.6207697,-33.5374598,REGION METROPOLITANA,13111,LA GRANJA,SAN GREGORIO,LA SERENA,0,"SAN GREGORIO & LA SERENA, LA GRANJA",CHILE,2021,1,13,13111,1,URBANA,0,0,0,2,12,6
-7861450.34471036,-3955738.16143699,442,-70.62061,-33.454128,REGION METROPOLITANA,13120,NUNOA,DUBLE ALMEYDA,SALVADOR,0,"DUBLE ALMEYDA & SALVADOR, ??ªU??ªOA",CHILE,2021,1,13,13120,1,URBANA,0,0,0,8,6,6
-7861419.6873226,-3952362.83409593,443,-70.6203346,-33.4288266,REGION METROPOLITANA,13123,PROVIDENCIA,PROVIDENCIA,MANUEL MONTT,0,"PROVIDENCIA & MANUEL MONTT, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,1,0,1,11,7
-7861346.89550757,-3953017.21427787,444,-70.6196807,-33.4337324,REGION METROPOLITANA,13123,PROVIDENCIA,ELIODORO YANEZ,JOSE MIGUEL CLARO,0,"ELIODORO YANEZ & JOSE MIGUEL CLARO, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,3,0,3,13,9
-7861319.09903072,-3973124.93563568,445,-70.619431,-33.584342,REGION METROPOLITANA,13112,LA PINTANA,GABRIELA,JUANITA,0,"GABRIELA & JUANITA, LA PINTANA",CHILE,2021,1,13,13112,1,URBANA,0,0,0,13,29,18
-7861194.06497866,-3953815.33125411,446,-70.6183078,-33.4397154,REGION METROPOLITANA,13123,PROVIDENCIA,FRANCISCO BILBAO,JOSE MIGUEL CLARO,0,"FRANCISCO BILBAO & JOSE MIGUEL CLARO, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,0,3,11,7
-7861134.63150252,-3952220.6728978,447,-70.6177739,-33.4277608,REGION METROPOLITANA,13123,PROVIDENCIA,PROVIDENCIA,CIRUJANO GUZMAN,0,"PROVIDENCIA & CIRUJANO GUZMAN, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,1,0,2,11,7
-7861131.8596472,-3951571.07258769,448,-70.617749,-33.4228905,REGION METROPOLITANA,13123,PROVIDENCIA,LA CONCEPCION,ANDRES BELLO,0,"LA CONCEPCION & ANDRES BELLO, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,0,1,15,8
-7861084.0924537,-3960738.78134047,449,-70.6173199,-33.491599,REGION METROPOLITANA,13118,MACUL,VICUNA MACKENNA,ESC AGRICOLA,0,"VICUNA MACKENNA & ESC AGRICOLA, MACUL",CHILE,2021,1,13,13118,1,URBANA,0,1,0,3,9,7
